Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
d6c4fd02-f7ef-7c60-9ba4-23ea5979db72,2000-02-04,,999-99-7676,S99921528,X17549279X,Ms.,Lakeisha206,Schulist381,,,,black,nonhispanic,F,West Concord  Massachusetts  US,692 McClure Spur,Boston,Massachusetts,Suffolk County,25025,02129,42.36690396047053,-71.06136140199601,47146.25,20691.38,26644
f7811cda-62e4-ac6a-08c1-731a93d8043d,2017-07-01,,999-46-3632,,,,Cyndi533,Heaney114,,,,white,nonhispanic,F,Beverly  Massachusetts  US,302 Kuhn Hollow,Wakefield,Massachusetts,Middlesex County,25009,01940,42.5411595259486,-71.02824327629976,21871.88,1049.38,127606
25db6afd-b081-7962-5fbc-a44836bbd5e5,2002-05-22,,999-23-8657,S99954585,X57762507X,Ms.,Jeniffer557,Harris789,,,,white,nonhispanic,F,Boston  Massachusetts  US,551 Hodkiewicz Center,Waltham,Massachusetts,Middlesex County,25017,02452,42.43296964179525,-71.1743447034218,272399.20,1430.03,50339
4136191d-9d9b-6f80-46fd-719b7b06a4d2,2001-06-06,,999-72-2848,S99911473,X11533427X,Ms.,Janett802,Kuvalis369,,,,white,nonhispanic,F,Worcester  Massachusetts  US,919 Reinger Wall,Orange,Massachusetts,Franklin County,25011,01364,42.56748254437706,-72.30198715366775,5750.00,186980.93,22394
1a8b9c69-ce6d-cd0b-35d8-9b3f10c708b8,1977-01-29,,999-63-6776,S99937105,X4879762X,Mrs.,Deja232,Altenwerth646,,Hodkiewicz467,M,white,nonhispanic,F,Revere  Massachusetts  US,129 Luettgen Gardens Unit 55,Wayland,Massachusetts,Middlesex County,,00000,42.393165815382126,-71.36408946695083,1174373.02,70257.80,119529
643c7d41-cca1-1dbc-c193-8215fc0fed4e,2004-04-03,,999-64-2916,S99941685,,Mr.,Beau391,McLaughlin530,,,,black,hispanic,M,Chelmsford  Massachusetts  US,413 Carter Gardens Unit 78,Methuen,Massachusetts,Essex County,25009,01844,42.7840019218955,-71.15310202041901,25024.29,1064.62,43248
2bfcda1c-5415-4cfb-d676-f72b9fd4d326,1985-03-20,,999-86-3559,S99972114,X85072661X,Mr.,Paul232,Cole117,,,D,white,nonhispanic,M,Boston  Massachusetts  US,331 Rosenbaum Manor,Duxbury,Massachusetts,Plymouth County,25023,02332,42.07734846460587,-70.68936090148598,38579.18,8972.61,182932
a80a1513-9447-5622-1ddb-b926b9f0d467,1975-05-31,,999-54-4996,S99961720,X84740478X,Mrs.,Marvella276,Johnson679,,Sauer652,M,white,nonhispanic,F,Randolph  Massachusetts  US,662 McClure Lane,Westminster,Massachusetts,Worcester County,,00000,42.51018761849321,-71.90904310728155,16955.64,960877.98,17965
36332912-19da-58c8-d269-77da327ac839,2020-06-26,,999-80-1227,,,,José Emilio366,Marrero674,,,,white,hispanic,M,Juarez  Chihuahua  MX,1066 Towne Common Unit 62,Medford,Massachusetts,Middlesex County,25017,02155,42.382692745317115,-71.082541013024,8404.62,0.00,123091
7b27d942-8bf7-1623-edbd-5774ab2919e9,1962-09-25,,999-28-9057,S99946282,X6703583X,Mr.,Timoteo39,Mora209,,,D,white,hispanic,M,Panama City  Panama  PA,524 Tillman Passage,Hopkinton,Massachusetts,Middlesex County,25017,01748,42.17919200035851,-71.4957465147894,59901.17,113846.24,197402
bf53227d-3529-42d9-0e43-ff3f76ca50c6,1963-09-08,,999-69-7193,S99975695,X65989954X,Mr.,Jerold208,Dare640,,,M,black,nonhispanic,M,Haverhill  Massachusetts  US,537 Boyer Frontage road,Framingham,Massachusetts,Middlesex County,25017,01702,42.29336410664964,-71.43218946535883,87762.82,7306.12,134352
14f7b660-3445-6ace-7a36-7408778e4c39,1960-07-23,2020-11-20,999-79-1761,S99967970,X44776599X,Mrs.,Marylouise236,Heidenreich818,,Trantow673,M,white,nonhispanic,F,Salisbury  Massachusetts  US,887 Kilback Wynd Apt 59,Mansfield,Massachusetts,Bristol County,,00000,42.00642028083551,-71.17860334651965,284794.57,1332275.92,32491
f2dd49fb-1738-d88f-69b6-fc940716888e,1954-06-02,,999-75-4628,S99942353,X37321498X,Mr.,Mohammad578,Beahan375,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,793 Robel Park Suite 79,Bourne,Massachusetts,Barnstable County,25001,02532,41.73026681775645,-70.60607832309448,71288.59,98234.67,198040
76eaedd6-a422-750a-374c-d038e9b60f75,1960-07-23,1961-12-03,999-38-4534,,,,Shannan727,Bosco882,,,,white,nonhispanic,F,Medford  Massachusetts  US,163 Crooks Rest,Mansfield,Massachusetts,Bristol County,,00000,41.97202559735428,-71.2492865621121,611.87,31931.79,32491
ff6ddbc4-ec84-48e2-dc91-73a7fa28ebae,1985-08-13,,999-73-8306,S99921080,X80375728X,Mrs.,Samatha845,Collier206,,Hyatt152,M,white,nonhispanic,F,Boston  Massachusetts  US,306 Robel Esplanade Suite 6,Worcester,Massachusetts,Worcester County,25027,01605,42.28961996772019,-71.79269935242078,202166.73,803856.31,175938
29ebffcd-a61a-5232-81db-ae1c97116e37,1965-06-22,,999-58-4724,S99910313,X25718756X,Mr.,Vicente970,Vandervort697,,,S,white,nonhispanic,M,Raynham  Massachusetts  US,274 Frami Pathway,Waltham,Massachusetts,Middlesex County,25017,02472,42.40367397175928,-71.24767040964804,108708.60,129877.70,196763
957a9250-aea9-c7fb-fdad-6ee2fde26b23,1966-01-21,,999-61-7457,S99925562,X89914952X,Mrs.,Valda518,Thompson596,,Dibbert990,D,white,nonhispanic,F,Reading  Massachusetts  US,763 Deckow Hollow,Danvers,Massachusetts,Essex County,25009,01923,42.54576757003737,-70.93645268395396,633492.82,165825.63,53532
81be7866-85eb-8dc9-ee04-645b33eb729d,1960-07-23,,999-59-4000,S99994330,X62276108X,Mrs.,Celena734,Kulas532,,Kuphal363,W,white,nonhispanic,F,Peabody  Massachusetts  US,923 Pollich Fork,Mansfield,Massachusetts,Bristol County,,00000,42.03658150819608,-71.22581339710432,136980.44,1191294.28,32491
2da077b9-c84a-583f-81a7-258c84f232ed,1967-10-23,,999-41-7552,S99955467,X33795632X,Mrs.,Lynelle567,Hermiston71,,Ullrich385,M,white,hispanic,F,North Attleborough  Massachusetts  US,957 Veum Crossroad Suite 51,Amesbury,Massachusetts,Essex County,25009,01913,42.835192733081904,-70.9510648376095,395712.37,974074.42,265347
6e2fd722-b2b8-4cd7-d512-cb457f133c1a,2022-07-15,,999-98-1289,,,,Gerard367,Goodwin327,,,,white,nonhispanic,M,West Yarmouth  Massachusetts  US,582 Ortiz Rue,Leominster,Massachusetts,Worcester County,25027,01453,42.55943692408775,-71.73524011367766,5771.15,1060.11,135389
85c996d6-f2db-20c0-39c5-1f046e6f1348,2019-07-21,,999-54-4588,,,,Willetta882,Price929,,,,black,nonhispanic,F,Franklin  Massachusetts  US,111 Paucek Pathway Suite 50,East Bridgewater,Massachusetts,Plymouth County,,00000,42.05523692143221,-70.989798484052,3196.81,6462.09,34126
6fa89a40-70f4-9024-2b01-9fc6d077f0cf,2018-04-29,,999-20-5789,,,,Teodoro374,Navarro863,,,,asian,hispanic,M,San Juan  Puerto Rico  PR,491 Hoppe Arcade Apt 83,Lawrence,Massachusetts,Essex County,25009,01841,42.739468342264296,-71.182602267087,4854.78,6889.70,26413
54c52c94-f607-417c-4432-cf1c62fc43e0,1972-02-19,,999-72-8697,S99983733,X59416985X,Mrs.,Manuela585,Meza847,,Sandoval902,W,white,hispanic,F,Bogota  Bogota  CO,246 Bogisich Station,New Bedford,Massachusetts,Bristol County,25005,02748,41.7589287058151,-70.94348805892764,444033.75,172099.49,61439
07ea83e0-f968-6c01-f666-7f776e018da0,2022-04-12,,999-63-1889,,,,Tracee120,Leffler128,,,,white,nonhispanic,F,Clinton  Massachusetts  US,794 Berge Dale,Gloucester,Massachusetts,Essex County,25009,01930,42.632363211173974,-70.71214407316452,200.00,5885.87,7222
22ffb415-5e35-eb15-4fc8-f00f796539c0,1994-11-18,,999-32-8552,S99922634,X1948987X,Mrs.,Crissy767,Mante251,,Sawayn19,M,asian,nonhispanic,F,Mumbai  Maharashtra  IN,991 Kilback Meadow Unit 37,Quincy,Massachusetts,Norfolk County,25021,02186,42.25703373955653,-70.98757221424967,90132.94,391030.53,57626
4bdb0674-f282-0681-98b4-ef790851bae1,2000-11-10,,999-47-5759,S99913539,X43044566X,Mr.,Seth414,Stroman228,,,,white,nonhispanic,M,Waltham  Massachusetts  US,406 Maggio Row Suite 5,Westhampton,Massachusetts,Hampshire County,,00000,42.27512279451753,-72.73225052707069,36431.83,4765.10,74500
1f64b270-e512-4354-9604-25c6e7a6999f,1990-08-11,,999-96-3845,S99994128,X21562189X,Mr.,Franklyn361,McClure239,,,M,white,nonhispanic,M,Medford  Massachusetts  US,195 Dooley Tunnel Unit 85,Sunderland,Massachusetts,Franklin County,,00000,42.4371611200264,-72.51479789339722,62410.81,4699.53,158301
2f97d434-20b1-9f6c-107b-00416d57866f,1969-06-05,,999-25-5275,S99961361,X24098155X,Mr.,Leif534,O'Connell601,,,W,white,nonhispanic,M,Malden  Massachusetts  US,1010 Bailey Park Unit 76,Brockton,Massachusetts,Plymouth County,25023,02351,42.09068239554862,-70.92756632544297,75447.48,13716.59,132018
4523a036-90d1-89f6-5971-1723c51e962d,2022-03-04,,999-91-5885,,,,Ivette731,Friesen796,,,,white,nonhispanic,F,Dunstable  Massachusetts  US,528 Marks Light,East Longmeadow,Massachusetts,Hampden County,,00000,42.048443983804106,-72.54004986678258,9961.39,0.00,52342
d3eb63b8-6d96-57b2-0b40-315714e57358,1967-06-20,2015-08-20,999-73-3222,S99999850,X78045688X,Mr.,Arron144,Romaguera67,,,M,white,nonhispanic,M,Walpole  Massachusetts  US,716 Kessler Harbor Suite 97,Westminster,Massachusetts,Worcester County,,00000,42.50517513963484,-71.89257702396728,108672.97,719076.33,33174
025df78a-98cb-3c2b-2aad-8cd6136580af,1967-02-01,,999-65-5119,S99948524,X16461825X,Mrs.,Alix578,Klocko335,,O'Keefe54,M,black,hispanic,F,Brookline  Massachusetts  US,645 Rice Route Unit 26,Boston,Massachusetts,Suffolk County,25025,02114,42.32739161841762,-71.10826019164317,16512.76,538499.09,15587
7a35825c-2b9c-715a-2e23-d7776ee6787f,1983-05-16,,999-90-5473,S99956519,X28820613X,Mr.,Samuel331,Juárez383,,,M,hawaiian,hispanic,M,Bogota  Bogota  CO,776 Fahey Approach,Boston,Massachusetts,Suffolk County,25025,02119,42.27380749505492,-71.09728884529653,25845.07,52941.36,23663
6d649102-c1b9-3614-7839-d7962c73835d,1974-07-18,,999-82-6606,S99989359,X85902879X,Mr.,Tory770,Toy286,,,S,white,nonhispanic,M,Cambridge  Massachusetts  US,447 Dibbert Mill,Sudbury,Massachusetts,Middlesex County,,00000,42.42856667833195,-71.38810789621249,50157.28,9262.30,166509
71082608-8ce2-8ecd-0566-5489237e689f,1959-11-07,,999-21-7193,S99926961,X3217796X,Mrs.,Mellisa81,Friesen796,,Corkery305,M,white,nonhispanic,F,Quincy  Massachusetts  US,752 Lang Approach,Northampton,Massachusetts,Hampshire County,25015,01063,42.27705019235365,-72.6792038333109,17944.44,1446509.04,12534
9f28c283-de47-1615-2cf1-07787a604949,1963-07-05,,999-30-8218,S99999389,X44551176X,Mrs.,Niki25,Simonis280,,Franecki195,M,white,hispanic,F,Melrose  Massachusetts  US,925 Senger Mission,Beverly,Massachusetts,Essex County,25009,01915,42.591442359361814,-70.89528476570503,598906.78,309309.42,42828
01cc5d2a-fdc1-1aa6-5df3-ab783a443edd,1991-04-02,,999-98-6158,S99928163,X11251876X,Mr.,Art115,Marks830,,,M,white,nonhispanic,M,Methuen  Massachusetts  US,452 Zieme Heights,Boston,Massachusetts,Suffolk County,25025,02132,42.389011593091524,-70.96388990638575,7003.09,107002.00,7881
e80d4c62-149a-a6a6-4b39-9d4aa3e07ba7,1959-01-11,,999-40-5053,S99946592,X24217394X,Mr.,Alfonso758,Bins636,,,M,white,nonhispanic,M,Hardwick  Massachusetts  US,519 Okuneva Port,Leominster,Massachusetts,Worcester County,25027,01420,42.47537259810161,-71.73636814786713,19542.75,282188.12,17268
e9bfee1d-34a1-62ee-fca9-3180f2ecf51f,1967-06-20,,999-84-5291,S99959617,X25478718X,Mr.,Lanny564,Olson653,,,M,white,nonhispanic,M,Winthrop  Massachusetts  US,1063 Boehm Wynd,Westminster,Massachusetts,Worcester County,,00000,42.53632647793249,-71.89019709041243,91935.03,99502.67,33174
b4565047-d157-1663-de65-b65ed36833f6,2022-09-20,,999-11-8958,,,,Clare187,Watsica258,,,,black,nonhispanic,F,Springfield  Massachusetts  US,832 Haley Plaza Apt 27,Revere,Massachusetts,Suffolk County,25025,02151,42.38306211648359,-71.01277044505237,5309.51,0.00,76465
1cdc2f83-0149-5cb7-0506-5d6dd15b75c1,2006-01-03,,999-43-2378,S99957539,,,Kelly223,Upton904,,,,black,nonhispanic,M,South Hadley  Massachusetts  US,465 Christiansen Boulevard,Boston,Massachusetts,Suffolk County,25025,02115,42.346952493061465,-71.02800454005978,28898.83,736611.88,171851
6872a8c3-67aa-cd13-b55f-b794da87fae8,1992-08-11,,999-26-7917,S99939493,X64656344X,Mrs.,Beatriz277,Nienow652,,Strosin214,M,white,nonhispanic,F,Peabody  Massachusetts  US,423 Carroll Mall Apt 41,Needham,Massachusetts,Norfolk County,25021,02492,42.23026215999569,-71.28312918501348,126170.72,521802.89,94770
ae0561aa-940d-ac17-ab7b-e4ae027e566c,1995-01-24,,999-82-3757,S99930424,X74069747X,Mr.,Noe500,Parisian75,,,M,white,nonhispanic,M,Winchendon  Massachusetts  US,350 Vandervort Camp Unit 44,North Attleborough,Massachusetts,Bristol County,,00000,41.98251786350256,-71.30558384288585,45365.96,12479.07,53388
23a0ff1e-9ae3-35ba-00e6-b02831a54cb5,1969-06-18,,999-50-3476,S99910349,X6096202X,Mr.,Alton320,Rippin620,,,M,white,nonhispanic,M,Quincy  Massachusetts  US,807 Leuschke Dale Apt 68,Dennis,Massachusetts,Barnstable County,25001,02638,41.70699595754662,-70.15541138167131,81877.18,39714.08,27849
aeccf979-8347-f0f5-36ad-9296bb9eddf9,1945-12-20,,999-82-4676,S99914773,X14137612X,Mr.,Tod265,Barrows492,,,D,white,nonhispanic,M,Lowell  Massachusetts  US,217 Carter Estate,Westborough,Massachusetts,Worcester County,25027,01581,42.25139949079753,-71.6198921093387,70686.90,236475.31,776332
a6726752-f995-1259-fdce-7bba2df7a563,1960-12-29,,999-56-3882,S99993274,X88003265X,Mr.,Lucius907,Dickinson688,,,S,asian,nonhispanic,M,Hanoi  Hà Đông  VN,788 Gerlach Rest Apt 15,Springfield,Massachusetts,Hampden County,25013,01013,42.07529201799124,-72.58958452911057,24723.51,1002612.77,21814
fe0d100a-13d2-b6c5-26e6-9f894d51a52d,2000-02-28,,999-75-9239,S99996681,X17176002X,Mr.,Bradford382,Pacocha935,,,,white,nonhispanic,M,Southborough  Massachusetts  US,895 Corkery Village Suite 52,Brockton,Massachusetts,Plymouth County,25023,02351,42.03827059019556,-71.07328869970542,58254.57,0.00,63535
b048e4ad-666b-7f53-25d7-29cfa102fd57,1965-10-14,,999-71-5047,S99989162,X48917612X,Mr.,Alfredo17,Briones478,,,M,black,hispanic,M,Santiago de los Caballeros  Santiago  DO,425 Daugherty Ramp Apt 54,Boston,Massachusetts,Suffolk County,25025,02124,42.2333366245556,-71.09497030175818,10614.51,798075.08,22953
8c205099-f0d1-442d-fc56-262fc6b04469,2001-02-02,,999-51-9822,S99967619,X88420475X,Mr.,Jerald662,Harvey63,,,,white,nonhispanic,M,Waltham  Massachusetts  US,353 Funk Orchard Unit 24,Wakefield,Massachusetts,Middlesex County,25009,01940,42.49759035783921,-71.0309655085678,36518.00,5664.67,95147
076f046c-b448-ea99-b034-4d4baed17ef4,1997-08-21,,999-80-8544,S99921501,X89234495X,Mr.,Adan632,Cassin499,,,,black,nonhispanic,M,Malden  Massachusetts  US,563 Spencer Manor Unit 44,Boston,Massachusetts,Suffolk County,25025,02130,42.31338335219831,-71.09386455163362,50396.27,0.00,70969
9149cde5-d230-0c39-2050-5a89907fd14b,1995-08-30,,999-34-9545,S99961951,X28321864X,Mr.,Alfonzo975,Wolf938,,,M,white,hispanic,M,Haverhill  Massachusetts  US,151 Ziemann Divide Apt 47,Leominster,Massachusetts,Worcester County,25027,01420,42.48927658447547,-71.75153311054365,51068.25,0.00,88187
d32b8ba4-4b24-bd16-8204-8202da355ba5,1997-03-07,,999-82-2956,S99938738,X9755929X,Mr.,Porter490,Gerlach374,,,,white,nonhispanic,M,Duxbury  Massachusetts  US,746 Schimmel Wynd Apt 2,Boston,Massachusetts,Suffolk County,25025,02113,42.327550913364824,-71.00830865627287,41764.47,16585.78,506712
44294240-83ab-027a-2eab-271f07c5af24,1965-01-02,,999-18-5615,S99931187,X8923746X,Mrs.,Gianna370,Fahey393,,Ryan260,M,white,nonhispanic,F,Boston  Massachusetts  US,1032 Crooks Knoll,Lawrence,Massachusetts,Essex County,25009,01843,42.718646931021894,-71.1397566471193,890040.81,44335.71,83783
c419d088-0c10-6666-235f-15f31c23d398,1954-05-09,2015-05-11,999-39-8003,S99915693,X28777354X,Mrs.,Nam74,Conn188,,Nikolaus26,M,asian,nonhispanic,F,North Andover  Massachusetts  US,434 Pollich Glen,Medfield,Massachusetts,Norfolk County,25021,02052,42.19198980915439,-71.30050025894288,283697.24,1422507.16,833260
ddf7cb33-5e5e-4462-1a5c-84caa10091da,1917-04-16,1987-07-08,999-46-1462,S99995215,X43737803X,Mrs.,Liana375,Ward668,,Simonis280,W,white,nonhispanic,F,Hopedale  Massachusetts  US,208 Grant Loaf,Boston,Massachusetts,Suffolk County,25017,02467,42.26315883381239,-71.0567704947291,196611.25,216494.52,141553
d1c9a984-6855-1dcb-cc96-3d92a36b29f8,1986-09-14,,999-44-3782,S99999060,X38950895X,Mrs.,Cathleen724,Steuber698,,Kulas532,M,white,nonhispanic,F,North Attleborough  Massachusetts  US,300 Zboncak Underpass Apt 57,Cambridge,Massachusetts,Middlesex County,25017,02138,42.35780018007903,-71.14972193334984,165353.19,626938.58,639966
ca4ac6d3-759c-bc0b-a425-d5672d078681,1957-10-26,,999-24-5994,S99963892,X27084419X,Mr.,Fredric73,McDermott739,,,D,white,nonhispanic,M,Pembroke  Massachusetts  US,681 Crona Parade,Lawrence,Massachusetts,Essex County,25009,01841,42.663157412700514,-71.20710832713979,10249.95,283407.88,6801
a85db32c-12ba-1eaf-a867-69d693edbeac,1984-04-15,,999-38-1958,S99933903,X54114725X,Mrs.,Tonisha838,Sauer652,,Lockman863,M,white,nonhispanic,F,Marblehead  Massachusetts  US,1037 Nitzsche Extension Suite 4,Fall River,Massachusetts,Bristol County,25005,02721,41.73739557264847,-71.13417702567651,11057.41,1085686.72,12017
a48fb728-e502-3920-ccc5-20c501b10730,1917-04-16,,999-15-6081,S99955993,X3176006X,Mrs.,Lida218,Kohler843,,Yundt842,M,white,nonhispanic,F,Foxborough  Massachusetts  US,678 Schmeler Course,Boston,Massachusetts,Suffolk County,25025,02126,42.320178443864826,-71.14712330716047,320946.42,934850.11,141553
dc7c913b-f564-976e-6952-a4e9e2953c29,1971-04-01,,999-47-5791,S99938891,X63785112X,Mr.,Sammy219,Morar593,,,S,white,nonhispanic,M,Belmont  Massachusetts  US,350 Bayer Harbor,Brockton,Massachusetts,Plymouth County,25023,02301,42.10594024394967,-70.98733741020725,19866.80,562440.72,16814
355fc930-5934-ab15-8585-ce8542e9b4cd,2009-11-13,,999-92-1606,,,,Zora492,Jacobson885,,,,white,nonhispanic,F,Rockport  Massachusetts  US,190 Orn Rest,West Concord,Massachusetts,Middlesex County,,00000,42.4208282216193,-71.40098285454091,26326.06,10399.58,531720
2168afe9-5491-06ff-c545-ff573fec742d,1975-03-01,,999-60-7604,S99977947,X58339271X,Mrs.,Natisha940,Rodriguez71,,Bosco882,M,white,nonhispanic,F,Peabody  Massachusetts  US,719 Gerlach Lock Unit 79,Granby,Massachusetts,Hampshire County,25015,01033,42.28466542573824,-72.45681536530121,211294.89,623692.98,43480
c7167dce-1e25-6c19-72f8-e7ebc1763698,2009-04-21,,999-10-8855,,,,Rubén780,Alonso270,,,,black,hispanic,M,Caracas  Capital District  VE,535 Lindgren Plaza,Beverly,Massachusetts,Essex County,25009,01915,42.598055429421294,-70.85779972723772,53082.86,347455.34,123444
9516e413-e607-f110-bf9e-adeb7796c1f6,1954-05-09,,999-87-7617,S99929705,X35861898X,Mrs.,Corie618,Metz686,,Upton904,M,asian,nonhispanic,F,Mattapoisett Center  Massachusetts  US,471 Heidenreich Neck Apt 3,Medfield,Massachusetts,Norfolk County,25021,02052,42.143337528565446,-71.26140819408964,298386.42,395046.97,833260
5731a0ac-ee4a-ad9b-d03a-947ab9287979,1959-09-21,,999-18-6825,S99962590,X53278758X,Mrs.,Arlette667,Kohler843,,Cronin387,M,white,nonhispanic,F,Woburn  Massachusetts  US,137 Frami Vista,Waltham,Massachusetts,Middlesex County,25017,02453,42.39048213991026,-71.21698639700877,153835.45,700368.86,188406
5468222f-3080-71ee-08c5-4bd1f59497ab,2018-09-15,,999-96-6760,,,,Glenn0,Hermiston71,,,,white,nonhispanic,M,Boston  Massachusetts  US,151 Cole Haven Apt 6,Mansfield Center,Massachusetts,Bristol County,,00000,42.03513656176326,-71.22760846690672,17005.45,0.00,183233
1c31ecd5-ec13-c307-2221-d5f7e9f498b2,1945-06-17,,999-93-4662,S99953782,X74933230X,Mrs.,Darnell564,Toy286,,Swift555,M,white,nonhispanic,F,Boston  Massachusetts  US,464 Prosacco Crossing Apt 71,Barnstable,Massachusetts,Barnstable County,25001,02647,41.63968660727045,-70.27156251100796,214090.68,468768.02,150031
4a6bf168-4c64-5fa1-35ca-80a408163d59,2004-02-29,,999-92-8876,S99943866,,Mr.,Elijah719,Runolfsson901,,,,white,nonhispanic,M,New Bedford  Massachusetts  US,129 Heaney Haven Suite 31,Westhampton,Massachusetts,Hampshire County,,00000,42.30922440234774,-72.75388240408654,29262.57,0.00,97630
858f1b23-b20b-15b2-62e6-f81f7b638fa5,2006-12-21,,999-55-6417,S99927791,,,Kenny207,Balistreri607,,,,white,nonhispanic,M,Tewksbury  Massachusetts  US,1051 Moen Estate Unit 54,Ludlow,Massachusetts,Hampden County,,00000,42.191425225731855,-72.47326407326503,65034.62,0.00,70732
7dd8181b-996c-9d3b-5d99-fbabcb501264,1972-01-18,,999-37-6538,S99947271,X83399938X,Mr.,Wilfred787,Wolf938,,,M,white,nonhispanic,M,Boston  Massachusetts  US,702 Murray Corner,Plymouth,Massachusetts,Plymouth County,25023,02360,41.92563207707282,-70.6234142597719,121045.48,671872.47,170876
6c15f057-eacd-bbf0-8bd1-f68872707395,1957-02-28,,999-61-2472,S99945073,X82782676X,Mr.,Laurence43,Hilpert278,,,M,white,hispanic,M,Boston  Massachusetts  US,592 Prohaska Drive Unit 26,Dartmouth,Massachusetts,Bristol County,,00000,41.566334710919584,-70.9473302552857,73128.48,30144.00,53348
6a10849d-3940-0cd0-4b06-4b5375cbda3d,2018-11-24,,999-19-6550,,,,Shantae970,Kihn564,,,,white,nonhispanic,F,Fall River  Massachusetts  US,425 VonRueden Trail Unit 93,Worcester,Massachusetts,Worcester County,25027,01603,42.26942945273761,-71.80602789563363,10829.29,0.00,72805
